comments,0/1
"over hyped I didn't think that this was nearly as good as I expected. Didn't contain a lot of the classics, perhaps they plan a volume 2.",0
Five Stars A1 very good,1
the new update is awesome It is just like xbox and pc I would definitely recommend as it is well worth the price it's great,1
cool My friend download this app and recommend it to me.love it.,1
what the #### This game is great you can buy all sorts of cool equipment with the bananas you gain in the runs,1
Not happy one little bit with this item Not happy one little bit with this item. It's a polish dvd with English subtitles. This dvd was not listed as a polish dvd with English titles.<br />Joke!!!,0
Glad it's gone ! The book it's self was well written but it was not my kind of book . It did keep me intrigued and I wanted to see how it ended .,0
AMAZING but American!!!!! I think this game is very good for parents or children but what is annoying is that sometimes sometimes you can be there for ages<br />just because it is American.,0
cracking game A cracking game worth a download,1
Five Stars Brilliant album.,1
5 stars??? really? Im more annoyed at the people who thought this was worth 5 stars. Because they haven't actually used the app. It's all about how it &amp;#34;keeps their grand children busy&amp;#34; if you're going to write a review actually review the software your self.,0
Four Stars Brilliant,1
Five Stars Enjoyed both cd and DVD very much. I am a great fan of Susan Boyle,1
Five Stars brill,1
"Pretty good Maybe I should give this a half star extra? I dunno. I liked this book. Considering how much hype it's gotten I thought it was definitely worth checking out. And I went in with pretty much the lowest expectations ever because the paranormal genre is usually not my thing. I suppose that probably helped.<br /><br />The biggest flaw that I can think of that no moment really \\""""blew me away\\"""" or whatever. I'd seen spoilers - so the ending revelation about Jace was nothing new to me. I am interested to see how that will be resolved - since I already sort of know that too. Ugh spoilers. And yeah, I guess the \\""""shocker\\"""" about Clary's father also wasn't surprising to me - I guessed that within the first few chapters.<br /><br />It was enjoyable to read though. The writing, the prose, it's solid. Really good. Much better than some of the other YA crap I've been muddling through. Just. Third person. Thank god. It reads so much better for me. It was action packed, so it was hard to stop reading I suppose.<br /><br />I'm not normally a fan of love triangles, but this one got me. In the first few chapters Simon is so charming I was totally \\""""awwww\\""""-ing at him. And I appreciate that with Jace it wasn't instalove. It was actually a pretty damn good build up. I dunno, it's actually a love triangle that's got me sitting on the fence, hahaha. So mission accomplished I guess, Cassandra Clare, good job! xD<br /><br />Clary as a main character is sufficiently enjoyable. She is relatively strong, considering all she has to deal with in this novel. She's not constantly thinking about boys, thank god. I absolutely LOVE that she's an anime fan. To put that in your main character. Major props. Thank you for making it clear that not all anime fans are freaks. And I appreciate that Trigun reference at the end. That was good. Very good.<br /><br />Jace is pretty dreamy. Simon is adorable. Luke is cool.<br /><br />...And, yeah. Better love story than Twilight. But that's not hard is it?<br /><br />I look forward to continuing the series :)<br /><br />Recommended for: fans of paranormal romance.look forward to continuing the series :)<br /><br />Recommended for: fans of paranormal romance.",1
EQUALIZER ANOTHER GOOD ONE DENZEL.  THANKS FOR PROMPT DISPATCH,1
excellent Excellent version of this Dicken's story.Atmospheric and gives a good insight into Victorian England. Superbly acted...costumes and sets  authentic.Thourghily enjoyed this version.,1
Five Stars wonderful,1
Five Stars Amazing album,1
great read arrived on time look forward to reading another jack reacher...as always a good read,1
"Okay This is not Green Day at their best for sure, but Warning contains some great songs; Fashion Victim, Blood sex and Booze, Minority, Macy's Day Parade, Warning and Waiting. :)",0
Five Stars perfect,1
"???? Strange but strangely addictive,",0
Three Stars Great song as always  by Ellis Goulding,0
its amazing in my opinion its great for writing your plans out and drawing pics and all that stuff and if you are that person who writes a lot of plans and working outs and revision then download this right now ...,1
this album is S@@T!! this album is a total waist of money i bought it after hearing the 2 singles which after 2 you would think that the album is good so i bought it played it it was goodish for the first 4 songs then it just got boring then rappers came into it distroying the album.. it just sounded like he was all up for it in the begining and by the time he did the first 4 songs he got bored!! and just made any crap to fill it up!! i personally dont know how it is selling as well as it is.. DO NOT BUY!! its crap... if you want some fun music and reall music i suggest for fun and real music christina aguilera back to basics WOOOOOOOOOOOW!! its amazing and fun and she sounds as good as always you wouldnt regret buying back to basics.. but you will if you buy this crap just because its justin dosnt meen its gonna be good!! and nelly furtado which that album is fun 2 not an amazing voice but still a really good album!! so anyway my opinion CRAP!! go for ((((((!!christina aguilera or nelly furtado!!)))))),0
"My Rating for the new EH song (not album) version of Valleys Of Neptune Having now heard the new pro-tooled version of Valleys Of Neptune it sounds bloody awful IMO and is a shorter version of the version we older fans are familar with, no brilliant flamenco guitar solo like the edited version on the lifelines album, in fact NO GUITAR SOLO AT ALL!! it also fades out so we are missing the good ending, the original is 5.39mins and this new 'Butchered' version is about 4mins long, terrible IMO and it sounds like Jimi is hitting 'bum' notes in the intro :(     My advice seek out the original to hear the true genius of this song instead of this bland boring play it safe version!! I hope the rest of the album has not been given the same treatment, because it is starting to sound like a Douglas era Crash Landing/Midnight Lightning album concept:(",0
Must Have another addictive matching game.,1
Five Stars great film,1
"Back to the future Ralph Fiennes gives an impressive performance as sleazy ex-cop Lenny Nero in Kathryn Bigelow's entertaining SF noir action thriller set in the near future. Nero is Raymond Chandler’s Philip Marlowe transposed to anarchic Los Angeles at the turn of the century, a flawed, fallen honourable man somehow living with his demons and surviving by trading in SQUIDs or ‘Superconducting Quantum Interference Devices’, which attach to the skull and transmit brain waves enabling the wearer to experience another person’s recorded reality. When Lenny acquires a recording of the gruesome death of his friend Iris he decides to investigate, but he is no all-action hero but an emotionally wounded wreck of a man, befriended and protected by Angela Bassett’s sleek tough limo driver and Tom Sizemore’s street-wise private detective (wearing an alarming Meat Loaf wig). The movie radiates a palpable destructive energy as Nero’s odyssey takes him though chaotic urban streets, scummy flea-bitten hotels and raucous grungy nightclubs. Despite being released in 1995 the movie touches on issues which are disturbingly contemporary, both societal and individual as our apparent search for virtual escape and voyeuristic porn leads to anomie and isolation. Probably the most unsettling part of the whole movie is when Fiennes and Sizemore experience Iris’s murder as perpetrator and victim, and it made me think of Michael Powell’s chilling 1960s film Peeping Tom. This is an exhilarating ride, told with an uncompromising conviction and audacious bravado and definitely deserves its place as a nearly-masterpiece of its genre. Highly recommended.",1
":( Unfortunately it is one of those films that has had all of the best parts shown in the adverts. It's boring, hardly funny and doesn't have the sizzle that you expect from the ads.",0
"Five Stars LOVED IT AND IT WORKED, BRILLIANT RESULTS IF YOU ARE DEDICATED AND SERIOUS",1
d Great game getting better all the time,1
Good for the creative maybe? Good if you'd use it. Ours is still sat in a drawer unfortunately.,0
Five Stars 👍,1
"good You should get this game if you are looking for a game that is fun, pointless and glitchy so all in all a good game",1
Five Stars Excellent cd thankyou,1
"A fascinating read Stephen W. Hawking is a brilliant scientist and a great writer.<br /><br />You do not need to be an scientist to understand this book.<br />The book is is well written, clear and comprehensive.<br />This book makes me want to study physics.<br /><br />It was a fascinating read.",1
"hate it when that happens I HAVE seen this before,  dag nam it, hate it when that happens,",0
"Good stuff Gripping, a page turner (if it were a book).  Excellent acting, great entertainment that is mixed with a heavy message.",0
"Not a read-in-one-sitting book A game of thrones is a well written fantasy novel set in a rich medieval world. The song of ice and fire series is one of the most popular fantasy books to date because of its interesting and unlimited amount of lore, and has even been adapted into a critically acclaimed TV series. All of this builds up a lot of hype, and maybe that's why I found it so disappointing. Personally, I consider myself quite an avid reader, and if I have the time, I often read books in one sitting. But I just couldn't do it with a game of thrones. The book itself is quite hefty, at 780 pages (not including the guide to the different family houses) and the way it's written can make it so dull at some points that I considered putting the book down for good. The characters are well developed and likable, but there is just too much description given for even the most minor of characters, and it often seems as though George R.R Martin has deliberately tried to make the story as drawn-out as possible. I f you are a casual reader, I would advise you to treat this book like the plague and stay as far away as possible. If you are a very avid reader I would advise you to try it out, and I hope that you can get swept away by it as so many others have, just please don't become a simple minded over zealous fan, who shouts at you for even the smallest criticism of the series. Maybe it's just not for me...",0
Blown away! Really well put together collection. These strategists were brilliant minded individuals. This series of books is great for anyone interested in history. I was really blown away with how well done these were.,1
"well worth having at the touch of a button. Very entertaining, and fun to do. One of the best jigsaw sets on the net.",1
latest update The latest update has left me unable to use Facebook on my fire have uninstalled twice now if it doesn't work this that's it uninstall for good,0
"Dull, overcast with spots of rain. Many years ago I saw Blur touring Parklife in Barcelona and sitting on a balcony right above those queuing for the gig sat a young man watching us and looking miserable as sin. I was going to give him a quick 'Oy, mate, cheer up!' but not knowing who he was (he could have been the Catalan cleaner for all I knew back then) I thought better and left him alone in his blue fug. Yes, you guessed it, Damon Albarn. Well, his latest album sounds just like he looked back then: no fizz, no fun, no frolics. For a man who has fashioned a magnificent career using only the finest and most orignal rhythms, production and chutzpah, this is a drabdrabdrab let down. Even the two most lyrically memorable tracks,  Mr Tembo and Photographs, don't do enough to merit a third star. So, Mr Albarn, take some of your well-earned duckets and cheer the fug up!",0
A100% Chick All i can say i buy buy buy. She is a 100% Rock - Soul CHICK. Get the the CD kick back on the sofa and enjoy.,1
Five Stars Fertilisers to use,1
Parallel  Lines Well you can tell  there is going to be little attention to detail here. The parallel line on the redesigned cover are no longer parallel they are divergent (or convergent depending on which way you travel along them). If the record company cannot even understand the title what hope is there?<br /><br />There is a great album in here but the previous single CD reissue contained that.,0
Four Stars Good product just as I expected and received in good time.,1
Three Stars good solid album.The sooner the next new album is released  the better...,0
Five Stars is good,1
Five Stars The best monster manual they've produced so far,1
amazing Totally amazing game so addictive can't stop playing g this game but can get quite hard Amazing 5 stars,1
Five Stars I can I buy this with a usa debit card? With us dollars lol,1
it's ok It's ok not good not bad I prefer mario kart but it's good for tablets<br />hey if you like watching videos you should subscribe to xxtomcaxx or typehttp://m.youtube.com/#/channel/UCYKQXlEf6_X6gWCOD5_Qf2Q<br />In your browser he's cool,0
"Compelling, exciting and bizzare! A Great read Ben Macintyre knows how to tell a story, and the story of Kim Philby and the Cambridge spy ring is totally brought to life. It seems extraordinary now that he was able to survive as a spy for so long, but that was as much about the establishment/old boy network, and he being able to hoodwink them, as it was about Philby's clear skill at leading a double life and masquerading as a social lion who seemed to be able to sweet talk anyone. A great read. Check out his other books to. Thought Agent Zigzag was fantastic!",1
"Love this group of actors and most of the story ... Love this group of actors and most of the story line. Thought it might end up being more of the same, but kept me interested throughout",1
"Religious claptrap obfuscates a beautiful story Reviews of this book need a little balance. I bought this story expecting a story of great courage and the indefatigability of the human spirit. While you do get that, you have to wade through the most obnoxious religious claptrap you're ever likely to read.    I was barely able to make it through the foreword in which we're told that the author's spirit had merged with angels of compassion and that her love of god had dissolved the hatred and that a cross of light had prevented her from being murdered.    It does the story no favours to attempt to imbue it with this superstitious magic. The Rwandan civil war was such an horrific period - around a million people murdered in 100 days - and it happened so recently that I find it shameful that the opportunity to analyse the events and to learn from the author's shocking experience has been ambushed in part by theists for propaganda purposes.    Ilibazia did not survive for 91 days because she prayed or because she loved God (implicit in that childish belief is the idea that none of the murdered million had similar beliefs). I hoped this book would shed more light on how she did survive and, as importantly, how she felt through those 91 days and how she has coped afterwards. The religious conflation obfuscates that important story and does a disservice to the book and the reader.",0
"Five Stars My five year-old son loved this, as did I. Great film.",1
"Mark Knopfler not at his best. The first half of the disk could have been any folk band with a Gaelic influence. Mark appears to come into the studio part-way through, plays an intro riff, then seems to go for another pint of Newkie Brown. His distinctive guitar style only comes to the fore for the second half of the recording.",0
always crashing Always crashing since the new update.,0
addictive Can't stop playing this game. Absolutely fab,1
"Overrated concert I was abhored by this concert.  This is not upto the standards of the studio albums, especially part one.  &#x27;Telegraph Road&#x27; and &#x27;Tunnel of Love&#x27; are good but the rest sucks.  Sucked overall.",0
"DEPRESSING I watched this film twice just to get myself REALLY annoyed, the film is billed as a 'comedy' -- someone has the wrong idea of funny, the more I watched the angrier I became, Streep is played as a drudge, I was expecting a rip roaring comedic outlook on marriage it fell VERY short of funny, too many women have to live lives like this for it to be anything other than depressing.<br /><br />I did find the therapists questions rather probing and was fascinated at the way the couple  dealt with them, this I would say is the only really funny part of the film.<br /><br />Depressing, depressing depressing!",0
house of cards series two Excellent series. Full of action and intrigue the acting is excellent. A must see series,1
Three Stars It arrived; it is.,0
"Liked it so much, I bought the t-shirt....... Fantastic album playing it on I-pod, tablet, hi-fi, lap-top, kindle, and in car.In fact, Six ways to Sunday.....",1
great Amazing thanks,1
"Candy crush This is a very addictive game. I love it so much and I'm getting good at it.<br />The levels are so easy at first, but then they get more challenging.",1
Five Stars Very good,1
Money well wasted. I don't understand how anyone can find interest in this rubbish. Why bother reading such junk? Because there are always critics and idiots ready and willing to champion mediocrity.,0
"great thanks, great",1
The best. This is a wonderful collection of highquality songs. They are also sung  by one of the best singers there has ever been. This collection is a must for any one who wants the best.,1
"Good and Bad It is really hard to know what to say about this book. It was a book of many parts. At times it was very slow, especially at the beginning, but it did pick up at other times. I found myself speed reading a few pages as I got bored. There were some humorous moments but also some moments that I felt were poking fun at certain types of people which I didn't find funny and left me feeling rather uncomfortable.<br /><br />Jamie is a lonely farmer looking for a wife. Lydia is a spinster school teacher who lives with her mother and wants a man to take to a friend's wedding. I am sure you can imagine the rest! However there is a little more to the book than just the personal ads in the paper. We have flashbacks to Jamie's childhood in an orphanage which was neglectful and cruel. Also the ending isn't exactly as you would expect from the beginning but I did work it out about half way through the book.<br /><br />I did feel for both Jamie and Lydia in this book. Although Lydia had received more in her life, they were both lonely people deprived of love and attention. Despite this, however, I struggled to relate to Jamie's childhood flashbacks. I am not denying that some of the Irish Catholic orphanages were cruel and viscious places in which to grow up, but I felt very apart from the conditions that were described. I didn't feel  a part of those flashbacks, the writing made me distant in some way so I was unable to empathise.<br /><br />I wonder if the author attempted to deal with too many things in this one book. I don't think she did justice to the subject of the orphanage abuse. I wonder if by touching on it in a book which also included so much humour and poking fun at stereotypical characters, trivialised the whole subject.<br /><br />Whatever the problem was, this was not a book that I entirely enjoyed or felt comfortable with. It was very much a curate's egg, good in parts. I am not sure that I would seek out any future books by this author.",0
"Beautiful, beautiful movie. I'm not usually into tear jerkers, but this one had me hooked, and crying like a little baby all the way through.<br /><br />Absolute must-see. Bullock was a amazing.",1
"AWESOME Such a fantastic book and so quotable. The most memorable (and true) must be, 'Life is not a wish-granting factory'.  I would recommend this read to anyone- incredibly heart-warming and funny. John Green writes with an individual flair which brings the book to life in a candid and beautiful way that any other author writing the exact same storyline wouldn't have been able to compare to. Fab fab fab",1
buy the book Delivery fast.it was a ok film nothing special really enjoyed the books and yes the books are always better but it's good to see the book on a big screen but this falls short for me just couldn't get into it but if people watch the film and want to read the book you can't go wrong with that .,0
A story of magic and intrigue The premise of this book was great and the first two thirds were mesmerising.  I liked the way that the stories interlinked across difference times. But as with quite a few books I have read the ending was a disappointment.,0
"I recommend this book Good quality book, arrived fast. Story is as expected and more, recommended.",1
"...No easy listening at all Pretty rough, but good in its genre.",0
"Faulty Product I returned this video as, at varying intervals, it had interruptions with odd clips of Disney references and appeared to be so because it was a pirate product. I had ordered it for my grandchildren and was extremely surprised, and disappointed, to receive spurious goods via Amazon. The only good point was the speed and efficiency of Amazon's refund policy. I have never received any explanation or apology though.",0
Five Stars one of all time greats,1
Five Stars very pleased,1
Great App I'm glad I downloaded this as know I can watch my favourite streamers without taking my laptop,1
"I managed to finish the book, but... I don't often write reviews but it's probably only fair to comment on this book, if only to save other people from falling for the hype of the 'Addictive No.1 Best Seller'. I can't quite put my finger on one reason I don't like this book as in fact there are several.<br /><br />SPOILERS<br /><br />Starting with the characters; I didn't feel an affinity to either Nick or Amy throughout and didn't particularly care that he was stupid enough to take her back at the end of the book. I would say though that Nick is the more human of the two although he has an unbelievable capability of falling into traps that he sets for himself by not being 100% honest or omitting certain truths to the police and that's not even mentioning the spiral of events he gets sucked into by Amy. She's a whole different kettle of fish and there's something almost mechanical about the way in which she acts which does not change throughout the book; despite the big 'twist' when it's revealed that the 'diary Amy' isn't the real her (apart from the 'girl-ier' language in the diary I certainly couldn't differentiate between the supposed two sides to her character). I've yet to read a less likeable character as she has no redeeming qualities, no shred of empathy, devoid of emotion and also seems to be above humanity as well as the law.<br /><br />As for the plot... as others have mentioned before me it's very repetitive as each character gives their own version of certain events and then tells someone else about it and then tells another person the same tale and then goes on tv to tell the whole of America about it (you get the idea). By the time you get to the end you'll have had the same deja vu fifteen to twenty times. There are things which are added in which seem unnecessary and are written for no other reason than to shock; such as the banter in Nick and Go's relationship starting on page 23. And of course because twins in the 70's were a rarity (really?) they have a telepathic bond, are 'the cousins of unicorns and siblings of elves'. I think the twins and mythical creatures ideas may have had less predictability and more promise than the actual book as I knew all along it wasn't Nick who 'murdered' Amy and that she'd planned it herself - it was too easy to guess. I'll also add that the when Amy gets 'kidnapped' by Desi and  then kills him to tie up the loose ends in her story and go back home it just feels like the authors quick fix or get out clause to a story which has gone on long enough and hasn't progressed where she wanted it to by that point.<br /><br />I battled through to the end of this book but perhaps at the end it would have been better written had Amy not had her money stolen and followed the her original plan because the book leaves you thinking that this phychotic woman will soon be bringing up a child with a man who has given himself no other option than to stay with his wife till 'death do us part'.",0
"absolute tosh this is an awful film. you know the way you keep buying resident evil films, hoping that they will be as good as the first one and they are always terrible. The same way you keep buying terry pratchet books since going postal in the hope that he will go back to his original, and infinitely better, books. The way you went to see the new star wars films, hoping it would be even remotely as good as the first three .. and hated the first new one so much that you didnt even go see the second and third  ... ?<br />Well, this film is precisely the same.<br />the first one is brilliant, the follow-up is truly and utterly attrocious. Awful. Terrible. Pathetic.<br />DO NOT BUY THIS FILM.<br />DO NOT BUY THIS FILM.<br />you have been warned<br /><br />I was forced to select a star rating ... my star rating is zero.",0
"Saviour of the Universe The film itself gets 5 stars from me everytime.  But alas, the transfer is simply not worth it and the U.S. release is far superior in quality.<br /><br />I purchased the Steelbook so that I would have the nice container to display in my film collection, I also have the previous DVD Steelbook release that contains the joyous commentary by Brian Blessed which is absent from both the U.S. and U.K. Blu Ray.  The extras were skimpy on both Blu Ray versions but the U.S. transfer is far superior in detail and grain.<br /><br />Buy the U.K. Steelbook for the case, but purchase the U.S. Universal release for the quality presentation.<br />The Queen CD that came with the U.K. Steelbook was nice, but I already own it.",0
not what I expected little difficult to hear what they ... not what I expected little difficult to hear what they were saying in numerous scenes the start was confusing the slavery depicted was brutal.,0
"Latest and maybe the last album from my teenage hero. Had a shock hearing Bob's singing voice.Maybe a lifetime of smoking 60 cigs a day.But some decent tracks which I can't be bothered to discuss,and some way too long,but a deserving album for afficianos only?",0
and they cut out most of the good parts. Very dissatisfied Life of PI would not play on my  DVD  It was made in the UK. Plus I ordered one that was made in the U.S.A. and they cut out most of the good parts. Very dissatisfied. Robert Miller,0
Five Stars Excellent album,1
retro vinyl Great album great seller,1
"The greatest, and very sadly missed The greatest ,and very sadly missed!",1
"Self Indulgent Nonsense Against my better judgement, I was carried along by the hype for this book, thinking I might just learn something from it.  I'm afraid I was terribly wrong.  These were the mutterings of a very selfish woman, someone who pretended to be spiritual but doesn't know the real meaning of it.  She took her happiness at whatever cost and so much of what she wrote about just didn't add up.  I was gratified to meet someone from the other side of the world who thought exactly the same as me.  If we all went off to 'search' for ourselves and find what made us happy, what a sad place the world would be.  This was neither satisfying nor inspirational.  I finished it because I thought I might find something but it was a long, hard, boring read.  Beats me how she ever persuaded anyone that she was interesting.  She is very full of her own self importance and I paid money to learn that.",0
"Five Stars Wonderful story, Sophie M is an amazing, fantastic actor...",1
Five Stars I like NCIS but it a christmas present for my dad. Very quick delivery,1
Reflector Having bought all the previous excellent Arcade Fire CDs I am very disappointed with this latest offering and think they have lost their way with this one!!,0
never again since most folks do not know about dvd's and what can be played in the u.s. you should have known i could not play it in ohio.  but you sent it anyway and i had to return it paying postage and received no refund.  poor seller,0
"great insights and great material to refer to often - ... This is a remarkable book for young people to help them find their way in the world of work by making there strengths stronger, great insights and great material to refer to often - a life changing gift to anyone under 40 years.",1
"but its not that good in my opinion Was looking forward to watching this film, but its not that good in my opinion, expected more as it received awards.",0
"Whilst beautifully read, it's a shame it's so abridged! I very much enjoyed listening to this in the car; but was very disappointed to find it was over so quickly!  having read teh book several times; having seen the film version; having quite enjoyed the recent Jacquelyn Wilson version [[ASIN:0141341424 Four Children and It]]; I was a littel disappointed to find this one so much abridged!  Nevertheless, it is a good introduction to the book",0
Five Stars Very fun and exciting,1
"Terrific Big fan, better than I imagined!!",1
Five Stars great,1
sam This is a fun game to play and pass the time,1
"A fantastic listen. You still have loads more unreleased stuff ... A fantastic listen.  You still have loads more unreleased stuff guys.  Go on, don't make us wait another 20 odd years...",1
Three Stars three stars.,0
why won't it work ! ! This is ok if it WORKED!!!!! I don't know what happened to it but it won't let me do nothing if someone could write a review if they have the same trouble,0
Good addition to our Disney collection Item as described. Well packed and prompt arrival . Good addition to our Disney collection .,1
Get it This game is nothing like the others ( in a good way ) if you have ever played modern warfare or  any building run gun and shoot games this is the one for you.,1
"DO NOT BUY UNLESS LIVING IN UK DO NOT BUY IF LIVING IN THE U.S.<br />I HAD NO IDEA. It doesn't work with my xbox 360, my cpu, or my tv! waste of money. I'm so disappointed",0
"I expected more A great story and idea, unfortunately not developed fully by Shelley. Her writing is prosaic and heavy, an uninspiring and tedious novel.<br /><br />Of course the book has its merits with regards the overall concept and inherent analogies. It is a wonderful example of scientific success marred by human failure, but as an entertainment, if it remains on my shelf, will most likely not be read again.",0
"Album does not work need replacement/refund This album does not play properly (it is distorted/jumps tracks) what do I do to get a replacement/refund? As you can see I ordered 2 other albums and none of them work properly, as these were gifts for my daughter we were extremely disappointed. I tried playing the albums on another turntable and the same distortion/track jumping occurred. Please advise",0
"A BIG DISAPPOINTMENT EVEN FOR DIE HARD FANS OH DEAR.THERE COMES A POINT WHEN A FILM FRANCHISE SHOULD BE LAID TO REST.AND DIE HARD IS ONE OF THEM.BRUCE WILLIS SEEMS BORED,THE PLOT'S RIDICULOUS,ITS THAT BAD.THE ORIGINAL  APPEAL OF THE DIE HARD FILMS WAS THAT THEY'RE BIG ON ACTION BUT IT WASN'T FORCED OR OVER THE TOP.THE STUNTS AND SET SCENES IN THIS HAD ME SCREAMING \\""""REALLY?\\"""" \\""""AS IF\\"""" \\""""WHATEVER!\\"""" ALL THE PLOT,HUMOUR,GREAT VILLIANS ETC THAT GAVE THE SERIES ITS EDGE HAS BEEN SACRIFICED FOR NON-STOP RELENTLESS CGI EXPLOSIONS.IF YOUR'E A DIE HARD FAN (PUN INTENDED!) YOU'LL WANT IT FOR YOUR COLLECTION.IF NOT - AVOID!!!",0
Five Stars Enjoyed,1
Two and Half Men Can't review this item as it was ordered for my son and he lives in Glasgow.  When I see him I will let you know how he rates it.,0
One Star Failed to download.,0
Five Stars Great book.,1
Not in as good a condition as expected The book cover wasn't quite as perfect as it was rated. It was OK but I have had books that were better. I would recommend the product to others but would show them my copy so they knew what to expect.,0
Excellent choice for both fans & newcomers For fans of this series the Blu-ray presentation is superb and the extras are a bonus that you will want to see.,1
Five Stars Great condition. Awesome read,1
Disappointed Apart from three tracks which I'd heard on the radio and quite liked the rest of this CD is monotonous wailing and does nothing for me. A waste of money.,0
Four Stars Brilliant.,1
"Five Stars Great Film, never get tired of watching it.",1
"Boring Have to say this is just as boring as Fifty Shades of grey. Not a very well written book, wouldn't read anymore if they brought them out found them very boring",0
"addicted I'm addicted to this game ,lots of people said it wouldn't load but I didn't have that problem so I'm now on level 650!",1
Five Stars Love this game,1
Good for small kids Not as good as Rio,0
"I like this franchise, not sure if they're taking it a bit too far now though I had to get this, since I have the other movies in the franchise. Also, this has a UV copy, however the other box set I bought didn't have UV at the time of purchase.<br /><br />This movie fills a few spare hours. It's worth a look, if you have nothing better to do or you've seen the others.",0
Load of rubbish This product was a load of rubbish just recordings of the TV & Radio over 25yrs - I was very disappointed with this product & even need to consider if Amazon are acting professionally in including this product in its range - hope George Mucheal never listens to this as he would take legal action - don't purchase this item 1000000% crap!!!!!,0
Five Stars love it play it all the time,1
Rubbish! No matter how you try will not let you pass a certain level as wants you to buy moves. This is a poor FREE app as they intend making you pay to progress. Shame as nice idea to relax with. Cleared it off my Kindle now.,0
Three Stars Gets you where you want to go,0
"Oh Dear Tolstoy would be turning in his grave!! Having looked forward to watching this film for some time I have to say it was not our cup of tea. The story kept getting lost in the rather strange scene changes and the focus was drawn more to the sets than the drama taking place. A waste of fantastic actors. I don't know what possessed Stoppard to do this but I'm I'm afraid, for us, he got it completely wrong!",0
Five Stars Just buy it and you'll be glad!,1
"a completely free, fantastic tool Using this app won't make you a native speaker of the language you're trying to learn, but it's a really great way to start you off. The activities are fun and motivate you to practise every day (which is very important for learning a language).<br /><br />There's also an 'immersion' section that allows you to try your hand at translating documents, and a forum to talk to people learning the same language as you. The posts from these people can be really helpful, whether they link other sites they use to learn or sometimes even to say a few motivational words to keep you going.<br /><br />There are some very minute flaws with the app, but they're being worked on constantly and they can be overlooked purely because the app won't cost you a cent!",1
"Shit game, don't get it! Didn't like this game, it didn't work for me and kept exiting the app when I went to use it.",0
Three Stars Ok,0
Three Stars My girls love these story,0
"Five Stars The book was great i really enjoyed it,found it hard to put down",1
Gone girl gone book This read very good in the reviews but I couldn't get into for me it was to bitty and didn't seem to flow.,0
Very good Would recommend to anyone who likes horses,1
A+ Excellent thank you,1
flappy wings This app is really hard. Even if you click lightly it will bounce to the top. Even though it's free I'd save your time. My highest score is 4 and I've had it for 2 weeks already!!!!!,0
Really good buy this app U should buy this app it is so good it doesn't cost anything except if u want to buy the characters instead of earning them all you have to basically do in this app is swipe and tap mostly tap it is so fun I definitely recommend this app it doesn't matter how old or young u are just play it!!!!!!! 😂😅😆😉😁😀,1
Three Stars Was a gift for my partner and he think it is fab.,0
"Don't do it This is a very poor book. The narrative pulse dies within a few pages, the characters are dull, the plot even more so.  McEwan can be great: read Atonement which is a masterpiece or Amsterdam which is also a masterpiece until the stupid ending.",0
Three Stars present,0
"A bit slow; but good Takes ages to do anything like sleeping, playing or showering. Nice idea but if it could be faster then this game would be ok<br />Sincerely,<br />Storm",0
"Banks on poor form Banks's culture series has been a joy over the years but this was awful.  I don't know if his failing health contributed to a novel that was hard to follow, contained an endless stream of travelogue tales and had no real resolution. If ever a book cried out for a good editor it was this one.",0
very poor quality questionable if this is a copy . the dvd was extremely poor quality .I am aware it was inexpensive  but would have expected it play properly .extremely disappointed .,0
Want a fun evening with lots of explosions and taking on impossible ... A total blast! Want a fun evening with lots of explosions and taking on impossible odds? Buy this film!,1
"Anaconda missing from my album I love this album and I love Nicki but track 12 'Anaconda' does not seem to be working :-/ the music plays and the chorus sings but Nicki's verse's are missing like it's an instrumental but it's not supposed to be, has anyone else had the same problem?",0
Five Stars Very good,1
"Unfinished Business It's undeniably unique in both it's sound and it's writing and takes a deep, intriguing dive into the colourful realm of modern art-rock, but This Is All Yours too often feels rushed and rather poorly thought out, frequently resulting in a bizarre and disjointed feel.",0
"Pointless book If u want a &#34;pointless&#34; book, where one whole page is for smacking with a wet tea-bag, or another page for ripping out and wrapping around a rock, then go for it, waste ur money, after all it's ur money to waste lol",0
I have watched this movie several times. I laughed ... I have watched this movie several times.<br /><br />I laughed almost through the whole movie. Its one of those movies that never gets old.<br /><br />Worth every penny!,1
"Get Your Hands on Maroon 5 This long awaited album was not a disappointment, the tracks were inspired. Buy it, or miss a good listen at your peril!",0
Five Stars My favourite radiohead album :) May go and listen right now!,1
"Does not work in America!!! I had to buy this movie from the UK because the USA won't put out a 3D version, but neither the 3D nor Blu-ray work on my player.  I've been watching 3D movies for nearly 2 years, but these DVDs don't work.  Both DVDs stop and start and stall constantly that I gave up.  Plus, there is an annoying box at the bottom left of the screen that constantly pops up letting you know where in the movie you are.  The DVD description says clearly that it is universal and plays on all 3D DVD players.  I will have to try to return this.",0
Brilliant!! Just brilliant!! Need to collect all the other seasons now!!,1
Ghost Rider Spirit of Vengeance This film was ok but nowhere near as good as the first Ghost Rider film which is unfortunately unavailable in 3D,0
Five Stars Good fun makes you think!,1
"awesome Brilliant game, awesome if you have about ten minutes to waste",1
Five Stars goog one,1
